patch_number,cb1,cb2,cb3,cb4,cb5,cb6,cb7,cb8,contrast,dissimilarity,homogeneity,ASM,energy,correlation,t1f1b1,t1f1b2,t1f1b3,t1f1b4,t1f1b5,t1f1b6,t1f1b7,t1f1b8,t1f1b9,t1f1b10,t1f1b11,t1f1b12,t1f1b13,t1f1b14,t1f1b15,t1f1b16,t1f1b17,t1f1b18,t1f1b19,t1f1b20,t1f2b1,t1f2b2,t1f2b3,t1f2b4,t1f2b5,t1f2b6,t1f2b7,t1f2b8,t1f2b9,t1f2b10,t1f2b11,t1f2b12,t1f2b13,t1f2b14,t1f2b15,t1f2b16,t1f2b17,t1f2b18,t1f2b19,t1f2b20,t2f1b1,t2f1b2,t2f1b3,t2f1b4,t2f1b5,t2f1b6,t2f1b7,t2f1b8,t2f1b9,t2f1b10,t2f1b11,t2f1b12,t2f1b13,t2f1b14,t2f1b15,t2f1b16,t2f1b17,t2f1b18,t2f1b19,t2f1b20,t2f2b1,t2f2b2,t2f2b3,t2f2b4,t2f2b5,t2f2b6,t2f2b7,t2f2b8,t2f2b9,t2f2b10,t2f2b11,t2f2b12,t2f2b13,t2f2b14,t2f2b15,t2f2b16,t2f2b17,t2f2b18,t2f2b19,t2f2b20,t3f1b1,t3f1b2,t3f1b3,t3f1b4,t3f1b5,t3f1b6,t3f1b7,t3f1b8,t3f1b9,t3f1b10,t3f1b11,t3f1b12,t3f1b13,t3f1b14,t3f1b15,t3f1b16,t3f1b17,t3f1b18,t3f1b19,t3f1b20,t3f2b1,t3f2b2,t3f2b3,t3f2b4,t3f2b5,t3f2b6,t3f2b7,t3f2b8,t3f2b9,t3f2b10,t3f2b11,t3f2b12,t3f2b13,t3f2b14,t3f2b15,t3f2b16,t3f2b17,t3f2b18,t3f2b19,t3f2b20,t4f1b1,t4f1b2,t4f1b3,t4f1b4,t4f1b5,t4f1b6,t4f1b7,t4f1b8,t4f1b9,t4f1b10,t4f1b11,t4f1b12,t4f1b13,t4f1b14,t4f1b15,t4f1b16,t4f1b17,t4f1b18,t4f1b19,t4f1b20,t4f2b1,t4f2b2,t4f2b3,t4f2b4,t4f2b5,t4f2b6,t4f2b7,t4f2b8,t4f2b9,t4f2b10,t4f2b11,t4f2b12,t4f2b13,t4f2b14,t4f2b15,t4f2b16,t4f2b17,t4f2b18,t4f2b19,t4f2b20,d0l2b1,d0l2b2,d0l2b3,d0l2b4,d0l2b5,d0l3b1,d0l3b2,d0l3b3,d0l3b4,d0l3b5,d0l4b1,d0l4b2,d0l4b3,d0l4b4,d0l4b5,d0l5b1,d0l5b2,d0l5b3,d0l5b4,d0l5b5,d0l6b1,d0l6b2,d0l6b3,d0l6b4,d0l6b5,d0l7b1,d0l7b2,d0l7b3,d0l7b4,d0l7b5,d45l2b1,d45l2b2,d45l2b3,d45l2b4,d45l2b5,d45l3b1,d45l3b2,d45l3b3,d45l3b4,d45l3b5,d45l4b1,d45l4b2,d45l4b3,d45l4b4,d45l4b5,d45l5b1,d45l5b2,d45l5b3,d45l5b4,d45l5b5,d45l6b1,d45l6b2,d45l6b3,d45l6b4,d45l6b5,d45l7b1,d45l7b2,d45l7b3,d45l7b4,d45l7b5,d90l2b1,d90l2b2,d90l2b3,d90l2b4,d90l2b5,d90l3b1,d90l3b2,d90l3b3,d90l3b4,d90l3b5,d90l4b1,d90l4b2,d90l4b3,d90l4b4,d90l4b5,d90l5b1,d90l5b2,d90l5b3,d90l5b4,d90l5b5,d90l6b1,d90l6b2,d90l6b3,d90l6b4,d90l6b5,d90l7b1,d90l7b2,d90l7b3,d90l7b4,d90l7b5,d135l2b1,d135l2b2,d135l2b3,d135l2b4,d135l2b5,d135l3b1,d135l3b2,d135l3b3,d135l3b4,d135l3b5,d135l4b1,d135l4b2,d135l4b3,d135l4b4,d135l4b5,d135l5b1,d135l5b2,d135l5b3,d135l5b4,d135l5b5,d135l6b1,d135l6b2,d135l6b3,d135l6b4,d135l6b5,d135l7b1,d135l7b2,d135l7b3,d135l7b4,d135l7b5
Cancer_1_1,0,0,0,0,0.029296875,0.462402344,0.463623047,0.044677734,2450.374735,38.09401483,0.025624158,0.000207881,0.014418069,0.028909141,0,0,0,0,0,0,0,0,0,11,4054,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,2109,1635,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,3969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1902,1835,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4019,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,2120,1600,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,3992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,1924,1837,190,0,0,0,0,0,0,2,1,15,25,30,2,1,6,9,15,0,0,4,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,1,13,21,41,1,0,6,3,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,15,22,2,1,7,9,15,0,0,1,4,6,0,0,0,2,7,0,0,1,0,1,0,0,1,0,0,3,2,15,19,40,0,0,3,1,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer_1_2,0,0,0,0,0.027832031,0.508300781,0.416748047,0.047119141,2225.418432,36.14459746,0.031554297,0.000203497,0.014265247,0.115345646,0,0,0,0,0,0,0,0,0,5,4078,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,2236,1498,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,2065,1667,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4053,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,2250,1502,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,3998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,2086,1677,191,0,0,0,0,0,0,1,9,30,37,41,1,4,14,38,30,0,0,4,16,12,0,0,3,3,3,0,0,0,2,2,0,0,1,0,0,0,8,34,61,59,0,0,9,22,21,0,0,2,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,24,40,45,0,5,28,28,34,0,1,5,14,10,0,0,0,9,1,0,0,0,3,2,0,0,0,0,0,1,7,35,60,59,0,0,8,16,14,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
Cancer_1_3,0,0,0,0,0.015869141,0.441894531,0.489501953,0.052734375,2291.498411,36.45286017,0.029268062,0.000211843,0.01455484,0.027850802,0,0,0,0,0,0,0,0,0,8,4061,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2049,1717,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1835,1925,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4053,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,2036,1739,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,3995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1833,1938,231,0,0,0,0,0,0,6,5,19,28,52,0,4,13,23,47,0,3,0,9,14,0,0,1,3,9,0,0,0,0,2,0,0,0,0,0,3,7,17,35,85,0,0,3,17,27,0,0,1,3,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,6,4,19,27,45,2,5,5,19,42,0,0,2,8,17,0,0,0,3,7,0,0,0,1,2,0,0,0,0,2,4,8,17,32,64,0,0,1,15,18,0,0,0,3,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Cancer_1_4,0,0,0,0,0.009765625,0.513671875,0.458496094,0.018066406,1311.323093,28.38347458,0.037501882,0.000243439,0.015602541,0.170155121,0,0,0,0,0,0,0,0,0,9,4065,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2392,1529,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,3985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,2124,1825,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4066,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2382,1560,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,3989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2122,1829,83,0,0,0,0,0,0,11,19,31,67,75,6,14,43,45,53,0,3,11,23,28,1,2,7,16,8,0,0,7,7,3,0,4,1,1,0,12,27,65,90,106,3,3,28,40,33,0,0,5,12,16,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,11,19,47,89,68,4,19,30,40,58,3,4,13,23,21,0,1,5,10,4,0,0,3,3,1,0,0,0,1,2,14,27,59,101,103,1,9,26,34,38,0,1,2,13,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cancer_1_5,0,0,0,0,0.009033203,0.513427734,0.438476563,0.0390625,1714.299258,31.71769068,0.034599147,0.000229377,0.015145203,0.160714742,0,0,0,0,0,0,0,0,0,10,4062,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2383,1434,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,4010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2161,1708,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4064,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,2393,1465,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,4015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2132,1725,169,0,0,0,0,0,0,4,12,25,38,65,2,7,27,18,48,0,2,10,13,16,0,1,3,4,16,0,0,2,0,2,0,0,0,0,1,4,18,45,51,90,0,3,12,13,32,0,0,2,1,7,0,0,1,0,3,0,0,0,0,3,0,0,0,0,0,4,14,26,39,65,3,8,26,30,48,0,3,15,7,19,0,1,1,1,5,0,0,1,1,4,0,0,1,0,1,5,16,44,52,80,0,7,16,9,37,0,0,3,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cancer_1_6,0,0,0,0,0.011962891,0.469482422,0.497314453,0.021240234,1500.505561,30.08554025,0.03791356,0.000240003,0.015492019,0.089625827,0,0,0,0,0,0,0,0,0,13,4066,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,2193,1709,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,4024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1951,1977,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4080,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,2242,1684,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1960,1958,107,0,0,0,0,0,0,0,3,10,33,35,1,0,5,24,28,1,0,4,5,8,1,0,0,3,3,0,0,0,3,3,0,0,0,1,1,3,4,16,48,48,0,0,1,15,7,0,0,0,2,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,4,11,27,39,0,0,6,21,26,0,1,3,12,14,0,0,0,1,3,0,0,0,1,2,0,0,0,0,0,6,0,11,48,56,0,0,3,7,11,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cancer_1_7,0,0,0,0,0.004638672,0.575927734,0.412353516,0.007080078,1123.025159,26.08289195,0.038303836,0.000268407,0.016383144,0.10597956,0,0,0,0,0,0,0,0,0,5,4077,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2684,1311,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2379,1643,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4088,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,2658,1348,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2390,1632,35,0,0,0,0,0,0,13,25,72,71,55,16,25,43,70,62,4,8,16,20,24,2,0,3,11,10,0,1,2,7,2,0,0,0,3,0,27,36,94,122,120,5,14,20,34,22,1,1,3,9,13,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,19,34,74,92,71,6,15,39,59,48,4,7,13,32,24,4,2,8,7,9,0,3,2,5,5,1,0,0,1,0,22,42,93,114,89,6,14,22,41,30,4,0,8,12,6,1,0,2,2,4,0,0,0,2,2,0,0,0,0,0
Cancer_1_8,0,0,0,0,0.006103516,0.604492188,0.375,0.014404297,1085.065943,25.828125,0.040891273,0.00026199,0.016186106,0.237689892,0,0,0,0,0,0,0,0,0,5,4071,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,2717,1207,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,4028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2497,1493,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4087,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,2745,1242,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,2495,1490,63,0,0,0,0,0,0,1,0,8,39,34,2,1,9,17,23,0,0,2,7,11,0,0,3,2,3,0,0,0,1,2,0,0,0,0,1,3,1,11,45,46,0,0,7,5,18,0,0,1,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,25,39,0,0,5,25,22,0,0,6,7,9,0,0,0,1,2,0,0,0,1,2,0,0,0,0,1,1,1,19,37,55,0,0,3,6,19,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cancer_1_9,0,0,0,0,0.009521484,0.5,0.455566406,0.034912109,1679.619174,31.25688559,0.032278806,0.000234146,0.015301842,0.119425751,0,0,0,0,0,0,0,0,0,2,4072,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2331,1533,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,4017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,2084,1795,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4061,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2318,1559,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,4031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,2076,1819,147,0,0,0,0,0,0,11,14,37,49,39,5,18,19,35,36,0,2,14,20,14,0,1,4,3,5,0,2,3,0,5,0,0,0,1,0,10,23,52,92,72,2,5,18,18,26,0,4,1,1,11,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,8,20,41,43,49,5,14,31,47,34,0,4,10,17,20,1,0,8,10,6,0,0,0,2,2,1,0,0,2,1,10,21,53,91,84,4,8,14,23,21,0,1,4,8,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Cancer_1_10,0,0,0,0,0.013671875,0.486083984,0.447021484,0.053222656,1973.504767,34.31832627,0.033036819,0.000213036,0.014595741,0.164201488,0,0,0,0,0,0,0,0,0,4,4067,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,2251,1548,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,4022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,2020,1781,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4058,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2211,1607,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,4040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,2020,1781,222,0,0,0,0,0,0,7,10,35,31,46,0,3,26,39,32,0,0,6,14,13,0,0,0,6,7,0,0,0,1,4,0,0,0,0,1,4,4,34,56,67,0,0,14,19,26,0,0,7,4,5,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,8,7,28,33,49,0,2,15,31,34,0,1,9,12,13,0,0,2,8,8,0,0,3,1,0,0,0,0,3,1,4,5,49,54,69,0,0,7,25,20,0,0,1,2,4,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
